#歌名	歌手	专辑	LX来源	LX来源ID	其他来源(平台:ID)	原歌单
再见深海 (微亮的瞬间)	唐汉霄	再见深海 (微亮的瞬间)	qq	002ZGF1a36sLuM	qq:002ZGF1a36sLuM	pop(QQ)
生分	川青	生分	qq	004VAVkM0aRz7B	qq:004VAVkM0aRz7B	pop(QQ)
蚍蜉	花粥	蚍蜉	qq	003NDfjq0cfvfl	qq:003NDfjq0cfvfl	pop(QQ)
我记得	赵雷	署前街少年	qq	002dw4gv1ZmiGt	qq:002dw4gv1ZmiGt	pop(QQ)
如愿	王菲	如愿	qq	001ufyHx10iWpg	qq:001ufyHx10iWpg	pop(QQ)
素颜	许嵩 / 何曼婷	素颜	qq	004Gq0xE1YC8xp	qq:004Gq0xE1YC8xp	pop(QQ)
嘉宾	张远	嘉宾	qq	001i36ji0C8Cov	qq:001i36ji0C8Cov	pop(QQ)
把回忆拼好给你	cici_	把回忆拼好给你 (新版)	qq	001dnUhx480S1Y	qq:001dnUhx480S1Y	pop(QQ)
给你一瓶魔法药水	告五人	玫瑰凭证	qq	002yfDQn4YfckB	qq:002yfDQn4YfckB	pop(QQ)
借我	谢春花	算云烟	qq	000H3VYO0hU0ko	qq:000H3VYO0hU0ko	pop(QQ)
下潜	川青 / Morerare	下潜	qq	001NnrWZ3eeEVw	qq:001NnrWZ3eeEVw	pop(QQ)
旅行日记	廖震豪 / 孙紫涵	旅行日记	qq	003yVcOt0UWfXE	qq:003yVcOt0UWfXE	pop(QQ)
我知道	BY2	Twins	qq	003upMMS1zgYzc	qq:003upMMS1zgYzc	pop(QQ)
旅行者	街道办GDC	旅行者	qq	004YV3z82J7JaC	qq:004YV3z82J7JaC	pop(QQ)
漠河舞厅	戴羽彤	漠河舞厅	qq	001h4Gdc1gdvPT	qq:001h4Gdc1gdvPT	pop(QQ)
路过人间	郁可唯	路过人间 (演唱会Live限定版)	qq	002ic85X3x4zum	qq:002ic85X3x4zum	pop(QQ)
迷失幻境	IN-K / 王忻辰	回忆观影券	qq	002Vo1xP3z9BVS	qq:002Vo1xP3z9BVS	pop(QQ)
爱,存在	林小珂	爱，存在	qq	003rsS2e3r8YNS	qq:003rsS2e3r8YNS	pop(QQ)
孤独颂歌	陈文非	孤独颂歌	qq	004YR7Dn03a2ge	qq:004YR7Dn03a2ge	pop(QQ)
New Boy	房东的猫	New Boy	qq	003UTVCN0QvffG	qq:003UTVCN0QvffG	pop(QQ)
眼泪的错觉	王露凝 / 乔海清	眼泪的错觉	qq	000jH41L01zQ9h	qq:000jH41L01zQ9h	pop(QQ)
越长大越孤单	牛奶咖啡	越长大越孤单	qq	002c1gqK40Lc0Y	qq:002c1gqK40Lc0Y	pop(QQ)
阿拉斯加海湾	蓝心羽	阿拉斯加海湾	qq	002FHVgG4btehE	qq:002FHVgG4btehE	pop(QQ)
等一场大雨	苏星婕	等一场大雨	qq	001iyR1A1iIEzr	qq:001iyR1A1iIEzr	pop(QQ)
是你	梦然	是你	qq	000GVhGu078nKq	qq:000GVhGu078nKq	pop(QQ)
说谎	林宥嘉	感官/世界	qq	000W95Fk3lAVxV	qq:000W95Fk3lAVxV ; qq:000pnKlx1Q0S7j	pop(QQ)
喜欢	阿肆	喜欢	qq	0015EQT708bZlQ	qq:0015EQT708bZlQ	pop(QQ)
夏天的风	Uu (刘梦妤)	夏天的风	qq	0020HNvU4GxTZN	qq:0020HNvU4GxTZN	pop(QQ)
走在冷风中	刘思涵	花开的声音	qq	001WXWsj0dbH5I	qq:001WXWsj0dbH5I	pop(QQ)
你是人间四月天	邵帅	你是人间四月天	qq	001w6xLH38QiQa	qq:001w6xLH38QiQa ; qq:004BZtcT056AWi	pop(QQ)
有梦可待	陈立农	幕后之王 电视原声音乐专辑	qq	004BORA80Vp39B	qq:004BORA80Vp39B	pop(QQ)
小城夏天	LBI利比（时柏尘）	小城夏天	qq	002ulOzb02Xbdo	qq:002ulOzb02Xbdo	pop(QQ)
记·念	雷雨心	第二季中国好歌曲十大金曲	qq	001evt7V0vXVYH	qq:001evt7V0vXVYH	pop(QQ)
爱的魔法	金莎	他不爱我	qq	003QrvzS3248Wi	qq:003QrvzS3248Wi	pop(QQ)
落在生命里的光	尹昔眠	落在生命里的光	qq	0038HM2J2C2T36	qq:0038HM2J2C2T36	pop(QQ)
凤凰花开的路口	咻咻满	咻咻满翻唱集	qq	0006Uo3L0I01tu	qq:0006Uo3L0I01tu	pop(QQ)
往后余生	沈三北	往后余生	qq	000j1NVV1kUGNM	qq:000j1NVV1kUGNM	pop(QQ)
像鱼	王贰浪	像鱼	qq	000NHikR1jV7Zz	qq:000NHikR1jV7Zz	pop(QQ)
最美的期待	南征北战NZBZ	最美的期待	qq	001U6lTA1uRm2k	qq:001U6lTA1uRm2k	pop(QQ)
下雨天	南拳妈妈	优の良曲 南搞小孩	qq	000fCzhV29mdvP	qq:000fCzhV29mdvP	pop(QQ)
分分钟需要你	林忆莲	陪着我走 In Search Of Lost Time	qq	00164b3R0T0usP	qq:00164b3R0T0usP	pop(QQ)
飞鸟和蝉	任然	飞鸟和蝉	qq	004Fimy419PpsA	qq:004Fimy419PpsA	pop(QQ)
飞云之下	韩红 / 林俊杰	飞云之下	qq	000fVqPH1RjwS3	qq:000fVqPH1RjwS3 ; qq:001A5PTK2nTVeo	pop(QQ)
化身孤岛的鲸	蔡明希-不才	十三夜之月	qq	000oxpSM3gyBXg	qq:000oxpSM3gyBXg	pop(QQ)
街角的祝福	张杰 / 戴佩妮	时光音乐会 第11期	qq	0013cqKw2ETyiM	qq:0013cqKw2ETyiM	pop(QQ)
嚣张	en (王翊恩)	嚣张	qq	001Hp44V3pCQ53	qq:001Hp44V3pCQ53	pop(QQ)
昨日青空	尤长靖	昨日青空	qq	001QGcyU3RXtdA	qq:001QGcyU3RXtdA	pop(QQ)
这世界那么多人	林志炫	时光音乐会 第12期	qq	004eMajX2eny3V	qq:004eMajX2eny3V	pop(QQ)
冬眠	司南	冬眠	qq	001U2GJO2hSzQW	qq:001U2GJO2hSzQW	pop(QQ)
我的秘密	G.E.M.邓紫棋	My Secret	qq	002wKHHm42wVh1	qq:002qaWTe07sLNq ; qq:002wKHHm42wVh1	pop(QQ)
天亮以前说再见	何野	天亮以前说再见	qq	002pk70j0rkJOE	qq:002pk70j0rkJOE	pop(QQ)
浪子回头	茄子蛋	卡通人物	qq	002k8c6r0k22LF	qq:002k8c6r0k22LF	pop(QQ)
一路生花	晓钗	一路生花	qq	003SKBwR4RlHcS	qq:003SKBwR4RlHcS	pop(QQ)
像小时候一样	郁可唯	像小时候一样	qq	003MuFqD3MIxWT	qq:003MuFqD3MIxWT	pop(QQ)
空城	杨坤	杨坤 同名专辑	qq	004OxZnj2SktXa	qq:004OxZnj2SktXa	pop(QQ)
无名的人	毛不易	无名的人	qq	002QhULf16tWw1	qq:002QhULf16tWw1	pop(QQ)
离开	街道办GDC / 欧阳耀莹	大城市中央	qq	0046ES4f3o3leN	qq:0046ES4f3o3leN	pop(QQ)
一生有你	水木年华	青春正传	qq	00417x4J1oaZre	qq:00417x4J1oaZre	pop(QQ)
南山南	马頔	孤岛	qq	001abixR3f8L59	qq:001abixR3f8L59	pop(QQ)
给女儿的一封信	金玟岐	金玟岐·专场	qq	0049SBWI1fEBjG	qq:0049SBWI1fEBjG	pop(QQ)
后会无期	G.E.M.邓紫棋	后会无期 电影原声带	qq	003de5C906SZp9	qq:003de5C906SZp9	pop(QQ)
生来倔强	南征北战NZBZ	生来倔强	qq	003LtC4H15LRSE	qq:003LtC4H15LRSE	pop(QQ)
骄傲的少年	南征北战NZBZ	6415	qq	001HlbWF0AYO5G	qq:001HlbWF0AYO5G	pop(QQ)
复乐园	木头	流金岁月 电视剧原声带	qq	003KqfYC4edtBZ	qq:003KqfYC4edtBZ	pop(QQ)
太阳月亮	毛不易	流金岁月 电视剧原声带	qq	003DO3zm417ucP	qq:003DO3zm417ucP	pop(QQ)
春娇与志明	街道办GDC / 欧阳耀莹	春娇与志明	qq	004Uln1G2Aunqw	qq:004Uln1G2Aunqw	pop(QQ)
你,好不好?	Eric周兴哲	你，好不好？	qq	00422Uev4dpLmR	qq:00422Uev4dpLmR	pop(QQ)
夏至未至	胡夏	夏至未至 电视剧原声带	qq	0021pZYn28C3e9	qq:0021pZYn28C3e9	pop(QQ)
雪落下的声音	陆虎	延禧攻略OST	qq	003nIdG82oTT9N	qq:003nIdG82oTT9N	pop(QQ)
画	G.E.M.邓紫棋	画 (Live Piano Session Ⅱ)	qq	000P8peU0HhORi	qq:000P8peU0HhORi	pop(QQ)
静悄悄	曲肖冰	静悄悄	qq	000WyUF03DywGy	qq:000WyUF03DywGy	pop(QQ)
星光降落	王宗介	星光降落	qq	001IlagC37o5kQ	qq:001IlagC37o5kQ	pop(QQ)
成都	赵雷	无法长大	qq	001bhwUC1gE6ep	qq:001bhwUC1gE6ep	pop(QQ)
少年	梦然	少年	qq	000S7TGL43hhBO	qq:000S7TGL43hhBO	pop(QQ)
西安人的歌	范炜与程渤智	西安人的歌	qq	001mHjnK2EoeeF	qq:001mHjnK2EoeeF	pop(QQ)
梦伴	李悦君	同名专辑	qq	001aHqfj1hDgTD	qq:001aHqfj1hDgTD ; wy:26584453	pop(QQ) ; 粤语(网易云)
一次就好	杨宗纬	夏洛特烦恼 电影原声带	qq	0031MMo90FDbTl	qq:0031MMo90FDbTl	pop(QQ)
你曾是少年	S.H.E	你曾是少年	qq	000yIGC14RGJ0I	qq:000yIGC14RGJ0I	pop(QQ)
至少还有你	林忆莲	林忆莲's	qq	002QOSPX0bEK4f	qq:002QOSPX0bEK4f	pop(QQ)
你不知道的事	王力宏	十八般武艺	qq	004OhZs82CZXfA	qq:004OhZs82CZXfA	pop(QQ)
正方形的圆	芜湖大司马	正方形的圆	qq	0043g0HT20aM94	qq:0043g0HT20aM94	pop(QQ)
爱着爱着就永远	田馥甄	渺小	qq	002zGrP22qjgpf	qq:002zGrP22qjgpf	pop(QQ)
十年	陈奕迅	黑白灰	qq	001OyHbk2MSIi4	qq:001OyHbk2MSIi4	pop(QQ)
红豆	王菲	云妮钟情	qq	002FVy042rX6FP	qq:002FVy042rX6FP	pop(QQ)
玩具	岛屿心情	纷纭	qq	004LrVlR197AFB	qq:004LrVlR197AFB	pop(QQ)
为了遇见你	戚薇 / 杨宗纬	中国音乐电视	qq	000Toeg91Y467J	qq:000Toeg91Y467J	pop(QQ)
可不可以	张紫豪	可不可以	qq	004NaB9p1Ec75l	qq:004NaB9p1Ec75l	pop(QQ)
就是爱你	程一	程一电台精选集	qq	003FYO0A3Rgiep	qq:003FYO0A3Rgiep	pop(QQ)
亲爱的你怎么不在我身边	江美琪	想起	qq	000aHlCj4Kghik	qq:000aHlCj4Kghik	pop(QQ)
短叹	房东的猫 / 梁晓雪	房东的猫	qq	002gEmRT2iQp0x	qq:002gEmRT2iQp0x	pop(QQ)
模样	张悬	SONYBMG华语音乐快递10	qq	0002vrtw1GElQW	qq:0002vrtw1GElQW	pop(QQ)
遇到	方雅贤	恶作剧之吻 电视剧原声带	qq	003qTYEG1Pyq0M	qq:003qTYEG1Pyq0M	pop(QQ)
偏爱	张芸京	新绝版-女人心	qq	000FXX9t3Lwb47	qq:000FXX9t3Lwb47	pop(QQ)
为你写诗	吴克群	情人节	qq	001YvXwf3f4KmY	qq:001YvXwf3f4KmY	pop(QQ)
断点	张敬轩	My Way	qq	002mASQc3pH9Hx	qq:002mASQc3pH9Hx	pop(QQ)
温柔	大山	大牌遇见好声音 第10期	qq	00102PAt2rXl4C	qq:00102PAt2rXl4C	pop(QQ)
讲不出再见	谭咏麟	梦幻的笑容	qq	000x5mxM09O8wG	qq:000x5mxM09O8wG ; wy:152392	pop(QQ) ; 粤语(网易云)
不具名的悲伤	罗志祥	有我在	qq	003wXwHF2AW9bV	qq:003wXwHF2AW9bV	pop(QQ)
再见	张震岳	再见	qq	002JJw5C2mZ18L	qq:002JJw5C2mZ18L	pop(QQ)
蓝莲花	许巍	曾经的你	qq	002RKDzH1kOOy3	qq:002RKDzH1kOOy3	pop(QQ)
拾忆	张翰	一起来看流星雨 原声音乐辑	qq	001eQQTv46OKLp	qq:001eQQTv46OKLp	pop(QQ)
洋葱	杨宗纬	鸽子	qq	003if7SP4fhnJd	qq:003if7SP4fhnJd	pop(QQ)
如果没有你	莫文蔚	K情歌	qq	0043GGT20vG9OZ	qq:0043GGT20vG9OZ	pop(QQ)
其实都没有	杨宗纬 / 杨旭 / 于冬然 / 范甲君	我想和你唱第二季 第4期	qq	003204Rq3AtMbE	qq:002JGaP80Y09Zg ; qq:003204Rq3AtMbE	pop(QQ)
北京东路的日子	华语群星		qq	000SBMxP3IK4ey	qq:000SBMxP3IK4ey	pop(QQ)
画心	张靓颖 / 卢昶宇 / 王艺陶 / 李秉成	我想和你唱第二季 第6期	qq	000WMDXj47ApRt	qq:000WMDXj47ApRt ; qq:0045cdSn27l6YM	pop(QQ)
可惜不是你	梁静茹	滚石三十青春音乐记事簿-交换日记	qq	001wMtBk2UbVOs	qq:001wMtBk2UbVOs	pop(QQ)
凉城	任然	后继者	qq	002SKEeh1VzObP	qq:002SKEeh1VzObP	pop(QQ)
凉凉	张碧晨 / 陈奕夫 / 傲日其愣 / 唐倩	我想和你唱第二季 第4期	qq	003dhemi2DfRl5	qq:003dhemi2DfRl5	pop(QQ)
还能孩子多久	曾轶可	Forever Road	qq	0002LoQM0ZpYSz	qq:0002LoQM0ZpYSz	pop(QQ)
城府	许嵩	许嵩早期单曲集	qq	0040LXJE2q7t6o	qq:0040LXJE2q7t6o	pop(QQ)
断桥残雪	许嵩	许嵩早期单曲集	qq	004ENQPZ0dHaqy	qq:004ENQPZ0dHaqy	pop(QQ)
Super Star	S.H.E	Super Star	qq	001ySuen4OziiU	qq:001ySuen4OziiU	pop(QQ)
魔鬼中的天使	田馥甄	My Love	qq	000us9j40zyooq	qq:000us9j40zyooq	pop(QQ)
想你的夜	关喆	永远的永远	qq	002585Ee3hWnO5	qq:002585Ee3hWnO5	pop(QQ)
追光者	岑宁儿	夏至未至 电视剧原声带	qq	0006V3BG48q1uP	qq:0006V3BG48q1uP	pop(QQ)
爱的双重魔力	BY2	成人礼	qq	001RYowC3Trxoq	qq:001RYowC3Trxoq	pop(QQ)
心墙	林俊杰	她说 概念自选辑	qq	0005WAB54TCYSn	qq:0005WAB54TCYSn	pop(QQ)
光	陈粒	如也	qq	000X41LW079jRG	qq:000X41LW079jRG	pop(QQ)
新贵妃醉酒	李玉刚	全年伤感歌曲大盘点3	qq	000qfWgn3F1cD1	qq:000qfWgn3F1cD1	pop(QQ)
爱,很简单	陶喆	陶喆同名专辑	qq	001yZ7Tf0kudte	qq:001yZ7Tf0kudte	pop(QQ)
国王与乞丐	华晨宇 / 杨宗纬	异类	qq	000VdyNV4aPPTw	qq:000VdyNV4aPPTw	pop(QQ)
倒带	蔡依林	遇见100%幸福1 烈爱红盘	qq	000jFBDf4Nj8X7	qq:000jFBDf4Nj8X7	pop(QQ)
无与伦比的美丽	苏打绿	无与伦比的美丽	qq	0033bA6D1dUzEB	qq:0033bA6D1dUzEB	pop(QQ)
想你想你想我	巴音汗	想你想你想我	qq	002KTx3k22ovu4	qq:002KTx3k22ovu4	pop(QQ)
你不是真正的快乐	G.E.M.邓紫棋	我是歌手第二季 半决赛	qq	001KEm381OxiXv	qq:001KEm381OxiXv	pop(QQ)
My Heart Will Go On	满舒克 / MuSik I / 廖伟珊	My Heart Will Go On	qq	002WFWqf1cLI08	qq:002WFWqf1cLI08	pop(QQ)
爱的回归线	陈韵若 / 陈每文	爱情公寓3 电视剧原声带	qq	002xpBxA13oPjq	qq:002xpBxA13oPjq	pop(QQ)
小情歌	苏打绿	6号出口 电影原声带	qq	002mhvaS0cYZhi	qq:002mhvaS0cYZhi	pop(QQ)
泡沫	G.E.M.邓紫棋	The Best of G.E.M. 2008-2012	qq	000cwwze4FkFj4	qq:000cwwze4FkFj4 ; qq:004J0XSB3oc1SK	pop(QQ)
江南	林俊杰	第五届百事音乐风云榜	qq	002yBISd3F1EaW	qq:002yBISd3F1EaW	pop(QQ)
我们不该这样的	张赫煊	北上广不相信眼泪 电视剧原声带	qq	00495F3N3DQeRg	qq:00495F3N3DQeRg	pop(QQ)
后来	刘若英	滚石香港黄金十年 刘若英精选	qq	001RVNAD10U3cJ	qq:001RVNAD10U3cJ	pop(QQ)
梦的光点	王心凌	Cyndi With U	qq	001SU8wX02axe6	qq:001SU8wX02axe6	pop(QQ)
愿得一人心	李行亮	最美的时光 电视剧原声带	qq	002rkRSq1Miogv	qq:002rkRSq1Miogv	pop(QQ)
你就不要想起我	田馥甄	渺小	qq	001J4FTi3A2UH8	qq:001J4FTi3A2UH8	pop(QQ)
神话情话	周华健 / 齐豫	电视剧歌曲大全	qq	000XJJfb1JwS94	qq:000XJJfb1JwS94	pop(QQ)
感谢你曾来过	Ayo97 / 周思涵	卧龙与酒	qq	0042xeq137FRKW	qq:0042xeq137FRKW	pop(QQ)
多远都要在一起	G.E.M.邓紫棋	中国音乐电视	qq	0021fj0j4HStMC	qq:0021fj0j4HStMC	pop(QQ)
倒数	G.E.M.邓紫棋	另一个童话	qq	003jjoM94WLiTf	qq:003jjoM94WLiTf	pop(QQ)
天下无双	张靓颖	神雕侠侣 电视主题曲原声大戏	qq	002sjtbA1K4ASF	qq:002sjtbA1K4ASF	pop(QQ)
好久不见	陈奕迅	认了吧	qq	004M3yRr3kOfnS	qq:004M3yRr3kOfnS	pop(QQ)
她说	林俊杰	他是... JJ林俊杰	qq	001Qzwf628MDCz	qq:001Qzwf628MDCz	pop(QQ)
我很快乐	刘惜君	爱情花园	qq	0027opWa4PxDhg	qq:0027opWa4PxDhg	pop(QQ)
小半	陈粒	小梦大半	qq	001hs89m3C5p3g	qq:001hs89m3C5p3g	pop(QQ)
你瞒我瞒	陈柏宇	五年新曲加精选	qq	003aO1KY3ZC9zG	qq:001EgTUP43EmU2 ; qq:003aO1KY3ZC9zG	pop(QQ)
好心分手	卢巧音 / 王力宏	不能不爱... 卢巧音精选	qq	000599Bh1CvCoG	qq:000599Bh1CvCoG ; wy:94663	pop(QQ) ; 粤语(网易云)
认错	许嵩	自定义	qq	003nzgAn0jKPGF	qq:003nzgAn0jKPGF	pop(QQ)
我好想你	苏打绿	秋：故事（苏打绿版）	qq	004Hy0mj2EEvtO	qq:004Hy0mj2EEvtO	pop(QQ)
老男孩	筷子兄弟	2015江苏卫视新年演唱会	qq	0003LQew3TmUTA	qq:0003LQew3TmUTA	pop(QQ)
阁楼	陈慧琳	Kelly Stylish Index	qq	000yPu3L4VizmP	qq:000yPu3L4VizmP	pop(QQ)
霞光	曲锦楠	霞光	qq	003p3ky81zgV0H	qq:003p3ky81zgV0H	pop(QQ)
未见青山老	以冬	未见青山老	qq	000CdpsK3QGJsV	qq:000CdpsK3QGJsV	pop(QQ)
知足	五月天	LOVE 国语情歌集	qq	0041DAzv3s78JK	qq:0041DAzv3s78JK	pop(QQ)
路...一直都在	陈奕迅	MOOV Music 1	qq	000eD1t22fry6X	qq:000eD1t22fry6X	pop(QQ)
Here We Are	华晨宇	Here We Are	qq	002Gsy3i3LtNty	qq:002Gsy3i3LtNty	pop(QQ)
需要人陪	王力宏	十八般武艺	qq	004AeIvh4ML0Bz	qq:004AeIvh4ML0Bz	pop(QQ)
雨爱	杨丞琳	雨爱	qq	000rh0dE2TyUic	qq:000rh0dE2TyUic	pop(QQ)
宏愿	周柏豪	Imperfect Collection	qq	004aEV821P0wRE	qq:004aEV821P0wRE ; wy:191534	pop(QQ) ; 粤语(网易云)
房间	刘瑞琦	私房歌	qq	001evmuP29rXfo	qq:000BQN8F1YTHXK ; qq:001evmuP29rXfo	pop(QQ)
喜欢你	G.E.M.邓紫棋	喜欢你	qq	002G0sJY2wThyx	qq:002G0sJY2wThyx	pop(QQ)
明天,你好	牛奶咖啡	Lost & Found去寻找	qq	002OrhQA0bNYFg	qq:002OrhQA0bNYFg	pop(QQ)
虹之间	金贵晟	爱情公寓4 电视剧原声带	qq	0049dpyC1edsSl	qq:0049dpyC1edsSl	pop(QQ)
依然	Panta.Q / 吴卓源	依然	qq	00405BYM2n3F0d	qq:00405BYM2n3F0d	pop(QQ)
没有什么不同	曲婉婷	Everything In The World (Deluxe Version)	qq	003gab3g2kUMwd	qq:003gab3g2kUMwd	pop(QQ)
淋雨一直走	张韶涵	有形的翅膀	qq	000jgeta4Havfd	qq:000jgeta4Havfd	pop(QQ)
说散就散	袁娅维TIA RAY	说散就散	qq	003vUjJp3QwFcd	qq:003vUjJp3QwFcd	pop(QQ)
一百万个可能	Christine Welch	一百万个可能	qq	000eXvbv2GXLdW	qq:000eXvbv2GXLdW	pop(QQ)
座右铭	吴雨霏	霏凡之选	qq	000xjzqm0pxJAa	qq:000xjzqm0pxJAa ; qq:002LQw1y3xjTZa	pop(QQ)
带我走	杨丞琳	K情歌8	qq	0004xQt50TObMY	qq:0004xQt50TObMY	pop(QQ)
从前慢	刘胡轶	第二季中国好歌曲十大金曲	qq	002HTYKA1p8XUW	qq:002HTYKA1p8XUW	pop(QQ)
七月上	Jam	阿敬的单曲集	qq	004P9zLK3JjSMX	qq:004P9zLK3JjSMX	pop(QQ)
连续剧	容祖儿	Hopelessly Romantic Collection	qq	002JL8VK39Lsnu	qq:002JL8VK39Lsnu	pop(QQ)
遇萤	只有影子	遇萤	qq	000SfcIA34yrE3	qq:000SfcIA34yrE3	pop(QQ)
如果有来生	谭维维	谭某某	qq	0042Py1049zWYE	qq:0042Py1049zWYE	pop(QQ)
笔记	周笔畅	超级女声 终极PK	qq	003YrqUn0Lalq2	qq:003YrqUn0Lalq2	pop(QQ)
来自天堂的魔鬼	G.E.M.邓紫棋	新的心跳	qq	004dFFPd4JNv8q	qq:004dFFPd4JNv8q	pop(QQ)
小幸运	田馥甄	我的少女时代 电影原声带	qq	001zgoLn3UZwoX	qq:001zgoLn3UZwoX	pop(QQ)
匆匆那年	王菲	匆匆那年	qq	003KExF60zMMGK	qq:003KExF60zMMGK	pop(QQ)
天亮了	韩红	韩红精选	qq	001gBnEV1RM4zZ	qq:001gBnEV1RM4zZ	pop(QQ)
光年之外	G.E.M.邓紫棋	光年之外	qq	002E3MtF0IAMMY	qq:002E3MtF0IAMMY	pop(QQ)
易燃易爆炸	陈粒	如也	qq	00394LZb2KXqak	qq:00394LZb2KXqak	pop(QQ)
远走高飞 (日晒或是风吹 我都无所谓)	金志文	Hello 1	qq	0027zPYs3A9fyb	qq:0027zPYs3A9fyb	pop(QQ)
锦鲤抄	银临 / 云之泣	腐草为萤	qq	00289GmS1BCkev	qq:00289GmS1BCkev	pop(QQ)
